Moves,repeat_0,repeat_1,repeat_2,repeat_3
158,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.13307463123132993
159,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.13307463123132993
160,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.10645970498506394
161,0.15968955747759592,0.07984477873879796,0.10645970498506394,0.10645970498506394
162,0.18630448372386188,0.07984477873879796,0.10645970498506394,0.10645970498506394
163,0.18630448372386188,0.07984477873879796,0.13307463123132993,0.10645970498506394
164,0.18630448372386188,0.07984477873879796,0.13307463123132993,0.13307463123132993
165,0.18630448372386188,0.05322985249253197,0.13307463123132993,0.13307463123132993
166,0.18630448372386188,0.05322985249253197,0.13307463123132993,0.13307463123132993
167,0.15968955747759592,0.05322985249253197,0.10645970498506394,0.15968955747759592
168,0.15968955747759592,0.05322985249253197,0.10645970498506394,0.15968955747759592
169,0.15968955747759592,0.05322985249253197,0.10645970498506394,0.15968955747759592
170,0.13307463123132993,0.07984477873879796,0.07984477873879796,0.15968955747759592
171,0.13307463123132993,0.07984477873879796,0.07984477873879796,0.13307463123132993
172,0.13307463123132993,0.10645970498506394,0.07984477873879796,0.13307463123132993
173,0.13307463123132993,0.10645970498506394,0.07984477873879796,0.15968955747759592
174,0.15968955747759592,0.10645970498506394,0.07984477873879796,0.15968955747759592
175,0.15968955747759592,0.10645970498506394,0.05322985249253197,0.15968955747759592
176,0.15968955747759592,0.10645970498506394,0.05322985249253197,0.18630448372386188
177,0.15968955747759592,0.10645970498506394,0.05322985249253197,0.15968955747759592
178,0.15968955747759592,0.13307463123132993,0.05322985249253197,0.15968955747759592
179,0.15968955747759592,0.13307463123132993,0.05322985249253197,0.13307463123132993
180,0.15968955747759592,0.13307463123132993,0.05322985249253197,0.13307463123132993
181,0.15968955747759592,0.13307463123132993,0.05322985249253197,0.10645970498506394
182,0.15968955747759592,0.13307463123132993,0.05322985249253197,0.13307463123132993
183,0.15968955747759592,0.13307463123132993,0.026614926246265984,0.13307463123132993
184,0.15968955747759592,0.13307463123132993,0.026614926246265984,0.13307463123132993
185,0.18630448372386188,0.13307463123132993,0.026614926246265984,0.10645970498506394
186,0.18630448372386188,0.13307463123132993,0.026614926246265984,0.10645970498506394
187,0.18630448372386188,0.13307463123132993,0.0,0.10645970498506394
188,0.18630448372386188,0.13307463123132993,0.026614926246265984,0.07984477873879796
189,0.21291940997012787,0.13307463123132993,0.05322985249253197,0.07984477873879796
190,0.21291940997012787,0.10645970498506394,0.05322985249253197,0.07984477873879796
191,0.21291940997012787,0.10645970498506394,0.05322985249253197,0.07984477873879796
192,0.21291940997012787,0.07984477873879796,0.05322985249253197,0.07984477873879796
193,0.23953433621639392,0.07984477873879796,0.07984477873879796,0.07984477873879796
194,0.23953433621639392,0.07984477873879796,0.07984477873879796,0.07984477873879796
195,0.21291940997012787,0.07984477873879796,0.10645970498506394,0.05322985249253197
196,0.21291940997012787,0.10645970498506394,0.10645970498506394,0.05322985249253197
197,0.21291940997012787,0.10645970498506394,0.10645970498506394,0.05322985249253197
