Bs_trans-4-methylcyclohexanol,Mean_fit_trans-4-methylcyclohexanol,Bs_cycloheptanol,Mean_fit_cycloheptanol,Bs_cyclooctanol,Mean_fit_cyclooctanol,Bs_cis-4-methylcyclohexanol,Mean_fit_cis-4-methylcyclohexanol,Bs_1-methylcyclohexanol,Mean_fit_1-methylcyclohexanol,Bs_cyclopentanol,Mean_fit_cyclopentanol,Bs_benzothiazole,Mean_fit_benzothiazole,Bs_thianaphthene,Mean_fit_thianaphthene,Bs_4-fluorophenol,Mean_fit_4-fluorophenol,Bs_quinoline,Mean_fit_quinoline,Bs_benzonitrile,Mean_fit_benzonitrile,Bs_m-cresol,Mean_fit_m-cresol,Bs_p-cresol,Mean_fit_p-cresol,Bs_aniline,Mean_fit_aniline,Bs_benzaldehyde,Mean_fit_benzaldehyde,Bs_2-butanol,Mean_fit_2-butanol,Bs_cyclobutanol,Mean_fit_cyclobutanol,Bs_2-propanol,Mean_fit_2-propanol,Bs_1-propanol,Mean_fit_1-propanol,Bs_acetone,Mean_fit_acetone,Bs_ethanol,Mean_fit_ethanol,Bs_acetaldehyde,Mean_fit_acetaldehyde
-22.392715719063546,0.005525604782960325,-22.848715719063545,1.9631382166919402e-28,-23.034715719063545,0.0003942820738126364,-21.818715719063544,7.158440817604483e-05,-21.565715719063544,3.3027411192480246e-05,-20.613715719063546,0.0030891191287569886,-28.109611358998723,4.5235110205167703e-07,-27.30506913106079,1.0097792923368801e-07,-26.499375288603648,2.4134285851902427e-05,-28.498002274115223,2.785997021985472e-07,-25.94813148356778,2.712152385942289e-06,-29.37610347350904,1.5345260406348997e-07,-29.747607827098733,5.860464319648687e-07,-27.37747648799747,2.0375101174978117e-07,-26.61758121929128,2.735825055909243e-06,-23.62865982904693,2.5060311253838303e-07,-16.960715719063547,0.0030648417903644948,-21.680692528115777,2.838025523561925e-07,-21.613146282008564,2.048213178033985e-06,-21.782011897276604,2.5559473923290935e-07,-19.74961178871142,6.502732550558926e-06,-19.614519296496987,3.837212470157838e-08
-22.287321070234114,0.006056817071889842,-22.743321070234114,5.84681345141607e-28,-22.929321070234113,0.00044754499600205744,-21.713321070234112,8.350823767609261e-05,-21.460321070234112,3.830752247733322e-05,-20.508321070234114,0.003420594913048503,-27.965712192008958,5.322656278343166e-07,-27.161169964071025,1.1717243975029905e-07,-26.355476121613883,2.7625453670971057e-05,-28.354103107125457,3.266152893662264e-07,-25.804232316578016,3.1019935720208955e-06,-29.232204306519275,1.8036465127437106e-07,-29.603708660108968,6.780102804404655e-07,-27.233577321007704,2.4080891234774754e-07,-26.473682052301516,3.141627966616625e-06,-23.484760662057166,2.949285502813604e-07,-16.855321070234115,0.003359753905673186,-21.53679336112601,3.396831154554647e-07,-21.469247115018796,2.3795599436791905e-06,-21.638112730286835,3.004012256573765e-07,-19.605712621721654,7.519419602589633e-06,-19.470620129507218,4.6178603643851675e-08
-22.181926421404683,0.006638757331828084,-22.637926421404682,1.7413561228136547e-27,-22.823926421404682,0.0005079994628662368,-21.60792642140468,9.741802839178451e-05,-21.35492642140468,4.4431730692438164e-05,-20.402926421404683,0.0037875043419813496,-27.82181302501919,6.262982300455301e-07,-27.01727079708126,1.3596417262237575e-07,-26.211576954624114,3.162162368459598e-05,-28.210203940135692,3.829061751436106e-07,-25.660333149588247,3.547869814226102e-06,-29.08830513952951,2.1199644981147167e-07,-29.459809493119202,7.844053110394536e-07,-27.08967815401794,2.8460684134649564e-07,-26.32978288531175,3.6076231063162577e-06,-23.3408614950674,3.4709404926401815e-07,-16.749926421404684,0.0036829388846815886,-21.39289419413624,4.0656652555807413e-07,-21.325347948029027,2.7645097115718977e-06,-21.494213563297066,3.530624141109833e-07,-19.46181345473189,8.69506191934924e-06,-19.32672096251745,5.5573243537946177e-08
-22.07653177257525,0.007276201221551958,-22.53253177257525,5.186279965416397e-27,-22.71853177257525,0.0005766154202441566,-21.50253177257525,0.00011364448023108307,-21.24953177257525,5.153496315385337e-05,-20.29753177257525,0.004193604625443732,-27.67791385802942,7.369430711466361e-07,-26.87337163009149,1.5776966171029131e-07,-26.067677787634345,3.6195840195740294e-05,-28.066304773145923,4.4889857368649465e-07,-25.51643398259848,4.057835427354953e-06,-28.94440597253974,2.4917573463429585e-07,-29.315910326129433,9.074960947707283e-07,-26.94577898702817,3.3637066297202267e-07,-26.185883718321982,4.14273864248758e-06,-23.196962328077632,4.084863191711066e-07,-16.644531772575252,0.004037086084254967,-21.24899502714647,4.8661923424097e-07,-21.181448781039258,3.2117339551541512e-06,-21.350314396307297,4.149552547075642e-07,-19.31791428774212,1.0054511103288533e-05,-19.182821795527683,6.687914202092527e-08
-21.97113712374582,0.007974360208692098,-22.42713712374582,1.5446294716682516e-26,-22.61313712374582,0.0006544933295179661,-21.397137123745818,0.000132573335660135,-21.144137123745818,5.9773710584943946e-05,-20.19213712374582,0.004643044479031011,-27.53401469103965,8.671349421757729e-07,-26.72947246310172,1.8307224314353126e-07,-25.923778620644576,4.143171121196262e-05,-27.922405606156154,5.26264500932405e-07,-25.37253481560871,4.641102410939633e-06,-28.800506805549972,2.9287540607833204e-07,-29.172011159139664,1.049902562522626e-06,-26.8018798200384,3.9754919912574523e-07,-26.041984551332213,4.757227014008645e-06,-23.053063161087863,4.807373433565587e-07,-16.53913712374582,0.0044251364219511065,-21.105095860156705,5.824342647878631e-07,-21.037549614049492,3.731306932731262e-06,-21.206415229317532,4.876980801673637e-07,-19.17401512075235,1.1626503983144174e-05,-19.038922628537918,8.048512813748389e-08
-21.865742474916388,0.008738918565509391,-22.321742474916388,4.6003690904769776e-26,-22.507742474916387,0.0007428816420634677,-21.291742474916386,0.00015465453203760896,-21.038742474916386,6.932947172795703e-05,-20.086742474916388,0.005140403362988341,-27.390115524049886,1.020327105427227e-06,-26.585573296111953,2.1243276882436403e-07,-25.77987945365481,4.742493569697156e-05,-27.778506439166385,6.169641372980225e-07,-25.228635648618944,5.3082068429297486e-06,-28.656607638560203,3.4423898841537474e-07,-29.028111992149896,1.214655768229287e-06,-26.657980653048632,4.698547803501147e-07,-25.898085384342444,5.462861346826694e-06,-22.909163994098094,5.657677613611514e-07,-16.43374247491639,0.004850305049207183,-20.96119669316694,6.971152032825556e-07,-20.893650447059727,4.334932609738827e-06,-21.062516062327767,5.731929206041556e-07,-19.030115953762582,1.3444269965802484e-05,-18.89502346154815,9.685913481589791e-08
-21.760347826086957,0.009576072940133396,-22.216347826086956,1.3701276685960574e-25,-22.402347826086956,0.0008431965880217212,-21.186347826086955,0.00018041287249386507,-20.933347826086955,8.041274767631093e-05,-19.981347826086957,0.005690734300241641,-27.24621635706012,1.2005828888433439e-06,-26.441674129122188,2.4650203811896273e-07,-25.635980286665045,5.4285051477214194e-05,-27.63460727217662,7.232954913115913e-07,-25.08473648162918,6.071199187296844e-06,-28.512708471570438,4.046105532196688e-07,-28.88421282516013,1.4052624022592898e-06,-26.514081486058867,5.553111720514473e-07,-25.75418621735268,6.273160999722845e-06,-22.76526482710833,6.658379246067261e-07,-16.328347826086958,0.005316105894166798,-20.81729752617717,8.343767272194916e-07,-20.749751280069958,5.036208286998867e-06,-20.918616895337998,6.736752361088478e-07,-18.886216786772817,1.5546233313627515e-05,-18.75112429455838,1.1656429185285958e-07
-21.654953177257525,0.010492574562301224,-22.110953177257525,4.0806504681080497e-25,-22.296953177257524,0.0009570445785853312,-21.080953177257523,0.00021046046612533802,-20.827953177257523,9.32676734726067e-05,-19.875953177257525,0.006299610517881904,-27.10231719007035,1.4126834614265502e-06,-26.297774962132422,2.860352232900337e-07,-25.492081119675277,6.213743563750837e-05,-27.490708105186854,8.47952622425615e-07,-24.94083731463941,6.94386195189196e-06,-28.368809304580672,4.755698905490167e-07,-28.740313658170365,1.6257794280401367e-06,-26.3701823190691,6.563102173451702e-07,-25.610287050362913,7.203650559695179e-06,-22.621365660118563,7.836079824182623e-07,-16.222953177257526,0.005826378192324747,-20.673398359187402,9.986649277361189e-07,-20.60585211308019,5.850930871595854e-06,-20.77471772834823,7.917723674494599e-07,-18.74231761978305,1.7976825177516593e-05,-18.607225127568615,1.402782928684526e-07
-21.549558528428093,0.011495774113882192,-22.005558528428093,1.2153399004001749e-24,-22.191558528428093,0.001086247557542726,-20.975558528428092,0.00024551122925806854,-20.72255852842809,0.00010817738839559489,-19.770558528428094,0.006973176152732557,-26.958418023080583,1.6622546480996358e-06,-26.153875795142653,3.3190860841630763e-07,-25.348181952685508,7.112559381818823e-05,-27.346808938197086,9.940938980927438e-07,-24.79693814764964,7.941958626503718e-06,-28.224910137590904,5.589738482660232e-07,-28.596414491180596,1.880900430357297e-06,-26.226283152079333,7.756787818401864e-07,-25.466387883373145,8.272157246772594e-06,-22.477466493128794,9.222085955549281e-07,-16.117558528428095,0.006385315122683684,-20.529499192197633,1.1953013226433013e-06,-20.46195294609042,6.797452686891538e-06,-20.63081856135846,9.305722331414227e-07,-18.598418452793283,2.0787422530855247e-05,-18.46332596057885,1.6881670228814457e-07
-21.444163879598662,0.012593669257179746,-21.90016387959866,3.619646144771413e-24,-22.08616387959866,0.0012328716782073824,-20.87016387959866,0.00028639778706051835,-20.61716387959866,0.0001254702624156025,-19.665163879598662,0.007718201251351722,-26.814518856090814,1.9559161473531352e-06,-26.009976628152884,3.8513901282246114e-07,-25.20428278569574,8.141378005875486e-05,-27.202909771207317,1.1654220143905029e-06,-24.653038980659872,9.083518395534193e-06,-28.081010970601135,6.570049212206168e-07,-28.452515324190827,2.176055512985837e-06,-26.082383985089564,9.167578739946375e-07,-25.322488716383376,9.499152423199362e-06,-22.333567326139026,1.0853241569101409e-06,-16.012163879598663,0.0069974946644026466,-20.385600025207868,1.430655224704911e-06,-20.318053779100655,7.897094833193535e-06,-20.486919394368694,1.0937040690276697e-06,-18.454519285803514,2.4037433825114603e-05,-18.31942679358908,2.0316100391032596e-07
-21.33876923076923,0.013794954766536359,-21.79476923076923,1.0780390085970688e-23,-21.98076923076923,0.0013992597262828756,-20.76476923076923,0.00033409116984232923,-20.51176923076923,0.00014552711486642174,-19.55976923076923,0.008542141276134268,-26.67061968910105,2.301457109101226e-06,-25.866077461163115,4.46906329544519e-07,-25.060383618705973,9.318999481165943e-05,-27.059010604217548,1.366277807485817e-06,-24.509139813670107,1.0389161765187507e-05,-27.937111803611366,7.722283617130672e-07,-28.308616157201058,2.517526871626032e-06,-25.938484818099795,1.0834961554216498e-06,-25.178589549393607,1.0908143745918963e-05,-22.189668159149257,1.277290731474261e-06,-15.906769230769232,0.007667912783383704,-20.241700858218103,1.7123500479356295e-06,-20.17415461211089,9.174627405728694e-06,-20.34302022737893,1.2854333213463868e-06,-18.310620118813745,2.7795554280018985e-05,-18.17552762659931,2.444923556853751e-07
-21.2333745819398,0.015109075149277219,-21.6893745819398,3.210722975602731e-23,-21.8753745819398,0.0015880677578261739,-20.659374581939797,0.00038972376207816026,-20.406374581939797,0.0001687895828451533,-19.4543745819398,0.009453201299830667,-26.526720522111283,2.7080427291647293e-06,-25.72217829417335,5.18579678399224e-07,-24.916484451716208,0.00010666941557918689,-26.915111437227782,1.6017502325841533e-06,-24.36524064668034,1.1882472983156871e-05,-27.7932126366216,9.076593056192761e-07,-28.164716990211293,2.9125825016508633e-06,-25.79458565111003,1.280560458233519e-06,-25.03469038240384,1.2526125470228669e-05,-22.04576899215949,1.5032113188741772e-06,-15.8013745819398,0.008402019049187899,-20.097801691228334,2.0495102337721076e-06,-20.03025544512112,1.0658827380905549e-05,-20.19912106038916,1.510773174283186e-06,-18.16672095182398,3.214121729457897e-05,-18.031628459609543,2.942322115731307e-07
-21.127979933110367,0.016546279568438002,-21.58397993311037,9.562494440232188e-23,-21.76997993311037,0.001802306474328025,-20.55397993311037,0.0004546160357959881,-20.30097993311037,0.00019576982164744807,-19.348979933110368,0.010460405028092305,-26.382821355121514,3.1864573392312542e-06,-25.578279127183585,6.017477533413022e-07,-24.77258528472644,0.00012209832242512152,-26.771212270238017,1.8778052965562133e-06,-24.221341479690572,1.3590425972757397e-05,-27.649313469631835,1.0668416706195028e-06,-28.020817823221527,3.3696308860240997e-06,-25.650686484120264,1.5134664024521213e-06,-24.890791215414076,1.4384095524830652e-05,-21.901869825169726,1.7690915022052914e-06,-15.695979933110369,0.009205754769265278,-19.953902524238565,2.4530567944002053e-06,-19.886356278131352,1.2383126729112406e-05,-20.05522189339939,1.77561562787295e-06,-18.022821784834214,3.716627259429427e-05,-17.887729292619778,3.5409120750826366e-07
-21.022585284280936,0.018117678789731237,-21.47858528428094,2.847997183634619e-22,-21.66458528428094,0.0020453879139555797,-20.448585284280938,0.0005303076848603739,-20.195585284280938,0.0002270617481727289,-19.243585284280936,0.011573668730382458,-26.238922188131745,3.749390438794025e-06,-25.434379960193816,6.982540367553129e-07,-24.62868611773667,0.00013975858951544915,-26.627313103248248,2.201437210545534e-06,-24.077442312700803,1.5543871468438198e-05,-27.505414302642066,1.2539408909822315e-06,-27.87691865623176,3.898399955112063e-06,-25.506787317130495,1.788732768994666e-06,-24.746892048424307,1.6517649255445797e-05,-21.757970658179957,2.0819990886826783e-06,-15.590585284280937,0.010085593708751612,-19.8100033572488,2.9360610448574484e-06,-19.742457111141587,1.4386365341636142e-05,-19.911322726409626,2.086885553196952e-06,-17.878922617844445,4.297692650033371e-05,-17.743830125630012,4.26127992708364e-07
-20.917190635451504,0.019835303766306978,-21.373190635451508,8.482188417140367e-22,-21.559190635451507,0.0023211780989362673,-20.343190635451506,0.0006185938743971236,-20.090190635451506,0.00026335407125895033,-19.138190635451505,0.01280388007998805,-26.09502302114198,4.411773254069059e-06,-25.290480793204047,8.102376611989296e-07,-24.484786950746905,0.00015997282400095227,-26.48341393625848,2.580845591686348e-06,-23.933543145711038,1.7778094142922328e-05,-27.361515135652297,1.4738529153724679e-06,-27.73301948924199,4.510144126475466e-06,-25.362888150140726,2.114063948499417e-06,-24.602992881434538,1.8967661199964727e-05,-21.614071491190188,2.450251985250368e-06,-15.485190635451506,0.011048585438887234,-19.66610419025903,3.5141679797120423e-06,-19.598557944151818,1.671366571612886e-05,-19.767423559419857,2.4527217524645967e-06,-17.735023450854676,4.9695985217414464e-05,-17.599930958640243,5.128200295802194e-07
-20.811795986622073,0.021712165344375565,-21.267795986622076,2.526249701274324e-21,-21.453795986622076,0.002634056343382797,-20.237795986622075,0.0007215674318128414,-19.984795986622075,0.00030544539097099495,-19.032795986622073,0.014162981799536357,-25.95112385415221,5.191174748378025e-06,-25.146581626214278,9.401808242821121e-07,-24.340887783757136,0.00018311024514102684,-26.33951476926871,3.0256432028473808e-06,-23.78964397872127,2.0333449777635868e-05,-27.21761596866253,1.7323323196458058e-06,-27.58912032225222,5.217883830058509e-06,-25.218988983150957,2.4985655718753537e-06,-24.45909371444477,2.1781067940629428e-05,-21.47017232420042,2.8836393026330926e-06,-15.379795986622074,0.012102401324133599,-19.522205023269265,4.206103005095087e-06,-19.454658777162052,1.9417449082101723e-05,-19.62352439243009,2.882689757465774e-06,-17.591124283864907,5.7465448402365985e-05,-17.456031791650474,6.171487970762118e-07
-20.70640133779264,0.02376231441788582,-21.162401337792645,7.523928070605312e-21,-21.348401337792644,0.0029889819926933727,-20.132401337792643,0.0008416679343377652,-19.879401337792643,0.0003542616926938738,-18.92740133779264,0.015664059874304703,-25.807224687162446,6.1082675844133976e-06,-25.002682459224513,1.0909638076050629e-06,-24.19698861676737,0.00020959340977605635,-26.195615602278945,3.5470994927586655e-06,-23.645744811731504,2.325609397016888e-05,-27.073716801672763,2.0361428866820405e-06,-27.445221155262455,6.036682615174357e-06,-25.075089816161192,2.9529993569093506e-06,-24.315194547455004,2.5011767009886548e-05,-21.326273157210654,3.3936815643156204e-06,-15.274401337792643,0.01325538311578415,-19.378305856279496,5.034278435554235e-06,-19.310759610172283,2.2558615826323756e-05,-19.479625225440323,3.388031929464717e-06,-17.447225116875142,6.644950762608646e-05,-17.312132624660705,7.427023276771108e-07
-20.60100668896321,0.0260009016783657,-21.057006688963213,2.2408510759283727e-20,-21.243006688963213,0.003391569433665754,-20.027006688963212,0.0009817387946108817,-19.774006688963212,0.0004108766122820635,-18.82200668896321,0.01732143592595933,-25.663325520172677,7.187376392869939e-06,-24.858783292234747,1.2659288192049327e-06,-24.0530894497776,0.00023990590530298836,-26.05171643528918,4.158426105543249e-06,-23.501845644741735,2.659881552103855e-05,-26.929817634682998,2.393234593080586e-06,-27.30132198827269,6.983967734989552e-06,-24.931190649171427,3.4900843024994363e-06,-24.17129538046524,2.872164904290861e-05,-21.18237399022089,3.99393693603119e-06,-15.169006688963211,0.014516594066563117,-19.234406689289727,6.025519394845551e-06,-19.166860443182514,2.620791676863871e-05,-19.335726058450554,3.981961398539237e-06,-17.303325949885377,7.683801282859172e-05,-17.16823345767094,8.937986042599475e-07
