B_01,r1_01,r2_01,r3_01,r4_01,B_02,r1_02,r2_02,r3_02,r4_02,B_03,r1_03,r2_03,r3_03,r4_03,B_04,r1_04,r2_04,r3_04,r4_04,B_05,r1_05,r2_05,r3_05,r4_05,B_06,r1_06,r2_06,r3_06,r4_06,B_07,r1_07,r2_07,r3_07,r4_07,B_08,r1_08,r2_08,r3_08,r4_08,B_09,r1_09,r2_09,r3_09,r4_09,B_10,r1_10,r2_10,r3_10,r4_10,B_11,r1_11,r2_11,r3_11,r4_11,B_12,r1_12,r2_12,r3_12,r4_12,B_13,r1_13,r2_13,r3_13,r4_13,B_14,r1_14,r2_14,r3_14,r4_14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.969,0.077,0.9,1.0,1.0,-18.155,1.0,,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.295,,0.982,0.916,0.956,-18.061,1.0,1.0,1.0,0.726,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.587,1.0,,1.0,1.0,-18.008,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.76,0.972,1.0,1.0,0.995,-16.62,1.0,,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.206,,1.0,0.973,0.902,-15.085,1.0,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.225,,1.0,1.0,1.0,-13.55,1.0,,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.824,,0.986,1.0,1.0,-12.015,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.69,,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.443,,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.155,,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.061,,,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.008,1.0,,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.62,,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.085,1.0,,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.55,,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.015,,,1.0,1.0,,,,,,,,,,
