Bs_03,Mean_fit_03,Bs_11,Mean_fit_11,Bs_01,Mean_fit_01,Bs_02,Mean_fit_02,Bs_10,Mean_fit_10,Bs_04,Mean_fit_04,Bs_05,Mean_fit_05,Bs_09,Mean_fit_09,Bs_06,Mean_fit_06,Bs_08,Mean_fit_08,Bs_07,Mean_fit_07
-34.4728762541806,5.745176698596694e-06,-34.4728762541806,9.887069421256801e-07,-34.4728762541806,1.450240704257922e-07,-34.4728762541806,4.175452164645797e-06,-34.4728762541806,1.9095328389205902e-07,-34.4728762541806,1.4822327948787303e-09,-34.4728762541806,1.7178776918467807e-06,-34.4728762541806,1.1857609780146773e-11,-34.4728762541806,3.035038219929439e-09,-34.4728762541806,2.7936255027689613e-09,-34.4728762541806,3.878959084031714e-08
-34.35978260869565,6.450961039523467e-06,-34.35978260869565,1.1303465333116653e-06,-34.35978260869565,1.6774176350412527e-07,-34.35978260869565,4.674433324186666e-06,-34.35978260869565,2.1956050849334333e-07,-34.35978260869565,1.7619172476737553e-09,-34.35978260869565,1.9073177014895587e-06,-34.35978260869565,1.456218707787525e-11,-34.35978260869565,3.5021491587707918e-09,-34.35978260869565,3.20918976024933e-09,-34.35978260869565,4.339298916733796e-08
-34.2466889632107,7.243449054474446e-06,-34.2466889632107,1.2922770186050762e-06,-34.2466889632107,1.9401813120215985e-07,-34.2466889632107,5.233044168087188e-06,-34.2466889632107,2.524534572052967e-07,-34.2466889632107,2.09437572708708e-09,-34.2466889632107,2.117648279434452e-06,-34.2466889632107,1.788364572815992e-11,-34.2466889632107,4.04115132681341e-09,-34.2466889632107,3.6865710548692524e-09,-34.2466889632107,4.854270094261847e-08
-34.13359531772575,8.133291888645383e-06,-34.13359531772575,1.4774052070406726e-06,-34.13359531772575,2.2441063151997314e-07,-34.13359531772575,5.858410536172013e-06,-34.13359531772575,2.902741853632469e-07,-34.13359531772575,2.4895662334469572e-09,-34.13359531772575,2.351173130661897e-06,-34.13359531772575,2.1962688902411376e-11,-34.13359531772575,4.663109223646839e-09,-34.13359531772575,4.234964946597227e-09,-34.13359531772575,5.430356051935807e-08
-34.0205016722408,9.132449088425815e-06,-34.0205016722408,1.6890543254099617e-06,-34.0205016722408,2.5956404686198836e-07,-34.0205016722408,6.558509797164719e-06,-34.0205016722408,3.3376093614896387e-07,-34.0205016722408,2.959325755210778e-09,-34.0205016722408,2.6104499985543385e-06,-34.0205016722408,2.697211246273596e-11,-34.0205016722408,5.380790242944221e-09,-34.0205016722408,4.864934875934536e-09,-34.0205016722408,6.074809653771257e-08
-33.90740802675585,1.0254349316046062e-05,-33.90740802675585,1.931023671833132e-06,-33.90740802675585,3.0022416316033353e-07,-33.90740802675585,7.342272600249756e-06,-33.90740802675585,3.837625506859964e-07,-33.90740802675585,3.5177248176892376e-09,-33.90740802675585,2.8983186781296033e-06,-33.90740802675585,3.3124124916314894e-11,-33.90740802675585,6.208926758254776e-09,-33.90740802675585,5.5886156422340185e-09,-33.90740802675585,6.795744505219497e-08
-33.7943143812709,1.1514070802357626e-05,-33.7943143812709,2.2076568147198004e-06,-33.7943143812709,3.4725359178558716e-07,-33.7943143812709,8.219696783928175e-06,-33.7943143812709,4.412550369288364e-07,-33.7943143812709,4.181488932029288e-09,-33.7943143812709,3.217932118210088e-06,-33.7943143812709,4.067933696279733e-11,-33.7943143812709,7.164518545395881e-09,-33.7943143812709,6.419947150322581e-09,-33.7943143812709,7.602237102530269e-08
-33.68122073578595,1.292854396112273e-05,-33.68122073578595,2.523919561175824e-06,-33.68122073578595,4.0165006990205704e-07,-33.68122073578595,9.20197489439647e-06,-33.68122073578595,5.073606207536348e-07,-33.68122073578595,4.970499567950616e-09,-33.68122073578595,3.572790953104963e-06,-33.68122073578595,4.995780144866279e-11,-33.68122073578595,8.267181749491335e-09,-33.68122073578595,7.3749429279703265e-09,-33.68122073578595,8.504441104780094e-08
-33.568127090301005,1.4516778885527138e-05,-33.568127090301005,2.8854890942281858e-06,-33.568127090301005,4.645676275028705e-07,-33.568127090301005,1.0301636939070956e-05,-33.568127090301005,5.833696511066216e-07,-33.568127090301005,5.908389655674371e-09,-33.568127090301005,3.966781841927412e-06,-33.568127090301005,6.135257140157363e-11,-33.568127090301005,9.539551560159517e-09,-33.568127090301005,8.471998586524102e-09,-33.568127090301005,9.51371516723173e-08
-33.45503344481605,1.6300120781393987e-05,-33.45503344481605,3.2988558786565057e-06,-33.45503344481605,5.373410701737148e-07,-33.45503344481605,1.1532710194951897e-05,-33.45503344481605,6.707657867721121e-07,-33.45503344481605,7.023251453876664e-09,-33.45503344481605,4.404220035349641e-06,-33.45503344481605,7.534635048829224e-11,-33.45503344481605,1.1007746860859935e-08,-33.45503344481605,9.732246166426587e-09,-33.45503344481605,1.0642765945422495e-07
-33.3419397993311,1.830253676622207e-05,-33.3419397993311,3.7714401643308456e-06,-33.3419397993311,6.215142969731e-07,-33.3419397993311,1.2910898108736935e-05,-33.3419397993311,7.712549563721891e-07,-33.3419397993311,8.34847798615175e-09,-33.3419397993311,4.8898966358720375e-06,-33.3419397993311,9.253194124054017e-11,-33.3419397993311,1.2701906390594091e-08,-33.3419397993311,1.1179961193198114e-08,-33.3419397993311,1.1905808070374792e-07
-33.22884615384615,2.05509378836913e-05,-33.22884615384615,4.311725177868167e-06,-33.22884615384615,7.188730541735336e-07,-33.22884615384615,1.4453780568707593e-05,-33.22884615384615,8.867986568548602e-07,-33.22884615384615,9.92376324919435e-09,-33.22884615384615,5.429131069055632e-06,-33.22884615384615,1.1363735727372298e-10,-33.22884615384615,1.4656807424143738e-08,-33.22884615384615,1.2843030284795126e-08,-33.22884615384615,1.3318743108984512e-07
