"Bs_1,2-Dichlorobenzene","Mean_fit_1,2-Dichlorobenzene",Bs_Ethylbenzene,Mean_fit_Ethylbenzene,Bs_Isobutylbenzene,Mean_fit_Isobutylbenzene,Bs_n-Butylbenzene,Mean_fit_n-Butylbenzene,Bs_p-Xylene,Mean_fit_p-Xylene,Bs_Toluene,Mean_fit_Toluene,"Bs_1,2-Benzenedithiol","Mean_fit_1,2-Benzenedithiol",Bs_Thianaphthene,Mean_fit_Thianaphthene,Bs_Benzofuran,Mean_fit_Benzofuran,Bs_Benzene,Mean_fit_Benzene,Bs_m-xylene,Mean_fit_m-xylene,Bs_1-Methylpyrrole,Mean_fit_1-Methylpyrrole,"Bs_Thieno[2,3-c]pyridine","Mean_fit_Thieno[2,3-c]pyridine",Bs_Indene,Mean_fit_Indene,Bs_n-Methylaniline,Mean_fit_n-Methylaniline,Bs_o-xylene,Mean_fit_o-xylene,Bs_2-Fluorobenzaldehyde,Mean_fit_2-Fluorobenzaldehyde,Bs_Indole,Mean_fit_Indole,Bs_Phenol,Mean_fit_Phenol
-16.215608695652172,2.6996502441582096e-15,-23.00102780145297,8.378242181788148e-06,-15.641374581939797,0.005711476137468983,-15.540374581939798,0.00016217068145893534,-14.318374581939796,0.0006279931058912024,-23.389418256306747,1.665692852914031e-16,-20.41264214046823,1.1049016197197943e-61,-20.0993745819398,2.9405725842456747e-05,-27.89802341137124,1.3136680750342723e-08,-21.238813208557776,2.404629199900518e-07,-14.178979933110366,0.00017841895936081682,-17.4423745819398,5.497690068806e-12,-19.00133779264214,0.002821291896065907,-17.5273745819398,2.1047711596464205e-26,-21.5793745819398,0.001640161000689224,-14.622374581939798,0.0017622192871339327,-17.1153745819398,0.00405448200046736,-22.063374581939797,0.00026772023469674093,-20.291444816053513,2.4118235484127686e-05
-16.110217391304346,4.6059318142557444e-15,-22.8571286344632,9.426482914682439e-06,-15.535979933110367,0.0061020436686455995,-15.434979933110368,0.00018143251542570557,-14.212979933110367,0.00070837799315071,-23.24551908931698,2.3306521194403956e-16,-20.282822742474913,6.586621257741832e-61,-19.993979933110367,3.302415247546513e-05,-27.7541237458194,1.5414245445600694e-08,-21.09491404156801,2.808163932559261e-07,-14.073036789297657,0.00020089303615854228,-17.33697993311037,7.814357751595851e-12,-18.894214046822743,0.003138279257074849,-17.421979933110368,4.4981244631986664e-26,-21.473979933110368,0.001770293361430215,-14.516979933110369,0.0018941980785540757,-17.00997993311037,0.004369173092970541,-21.957979933110366,0.0002950140885198882,-20.17835117056856,2.729188310376018e-05
-16.00482608695652,7.858280132205869e-15,-22.713229467473433,1.0605872515839947e-05,-15.430585284280935,0.006519144241467296,-15.329585284280936,0.00020298171059915471,-14.107585284280935,0.0007990441455818458,-23.10161992232721,3.261068985406997e-16,-20.153003344481604,3.926465381047577e-60,-19.888585284280936,3.708781639875935e-05,-27.610224080267564,1.8086681641951255e-08,-20.95101487457824,3.279418140248324e-07,-13.96709364548495,0.00022619736070927894,-17.23158528428094,1.1107244370930682e-11,-18.787090301003346,0.0034907571818466637,-17.316585284280936,9.612980296549381e-26,-21.368585284280936,0.0019107308208822305,-14.411585284280937,0.002036041064699839,-16.904585284280937,0.004708173661472221,-21.852585284280934,0.00032508962306114134,-20.06525752508361,3.0883128775150634e-05
-15.899434782608695,1.3407182113528282e-14,-22.569330300483667,1.1932819084498356e-05,-15.325190635451504,0.00696455562530219,-15.224190635451505,0.00022708977643156605,-14.002190635451504,0.0009013043014773235,-22.957720755337444,4.562916463970941e-16,-20.023183946488295,2.3406735844184134e-59,-19.783190635451504,4.1651498503130585e-05,-27.46632441471572,2.1222449961642144e-08,-20.807115707588473,3.8297562079066227e-07,-13.86115050167224,0.0002546881856053981,-17.126190635451508,1.57877181256778e-11,-18.679966555183945,0.0038826697053695896,-17.211190635451505,2.0543982483786731e-25,-21.263190635451505,0.002062286174409633,-14.306190635451506,0.0021884823712432703,-16.799190635451506,0.0050733429783492425,-21.747190635451503,0.00035823014224146526,-19.95216387959866,3.494691768216026e-05
-15.79404347826087,2.287428409285491e-14,-22.4254311334939,1.3425783446907046e-05,-15.219795986622072,0.007440171211174301,-15.118795986622073,0.00025406042109861666,-13.896795986622072,0.0010166382029380536,-22.813821588347675,6.384472929075007e-16,-19.893364548494983,1.3953396495584861e-58,-19.677795986622073,4.677671865713774e-05,-27.322424749163883,2.4901880347408504e-08,-20.663216540598704,4.4724496387126484e-07,-13.75520735785953,0.00028676656020529034,-17.020795986622076,2.2440493365545594e-11,-18.57284280936455,0.0043183921558984885,-17.105795986622073,4.390472083310494e-25,-21.157795986622073,0.0022258357878193963,-14.200795986622074,0.0023523102735699417,-16.693795986622074,0.005466679524586494,-21.64179598662207,0.00039474776189984316,-19.839070234113713,3.954542336973426e-05
-15.688652173913043,3.9026312041563977e-14,-22.281531966504133,1.510553593556358e-05,-15.114401337792641,0.007948007037348324,-15.013401337792642,0.0002842333625947793,-13.79140133779264,0.0011467136756563277,-22.66992242135791,8.933210788307603e-16,-19.76354515050167,8.318001922996722e-58,-19.57240133779264,5.253256442113117e-05,-27.178525083612044,2.921922989861496e-08,-20.51931737360894,5.222997096730611e-07,-13.649264214046822,0.00032288395127999785,-16.915401337792645,3.189667680148455e-11,-18.46571906354515,0.004802776657926147,-17.000401337792642,9.382915473930903e-25,-21.05240133779264,0.0024023244807155363,-14.095401337792643,0.0025283711153402466,-16.588401337792643,0.0058903309298317975,-21.53640133779264,0.0004349863310549088,-19.72597658862876,4.474899839258389e-05
-15.583260869565217,6.658363712642948e-14,-22.137632799514364,1.6995445282466077e-05,-15.00900668896321,0.008490209171039553,-14.90800668896321,0.0003179885890536308,-13.686006688963209,0.00129341032418814,-22.52602325436814,1.2499427262807394e-15,-19.63372575250836,4.9585888290973526e-57,-19.46700668896321,5.899662159401643e-05,-27.0346254180602,3.428509748332771e-08,-20.375418206619173,6.099498157057068e-07,-13.543321070234112,0.00036354856558866634,-16.810006688963213,4.5337594606381895e-11,-18.35859531772575,0.005341202040149734,-16.89500668896321,2.005230898189615e-24,-20.94700668896321,0.0025927707703199705,-13.990006688963211,0.0027175734988384753,-16.48300668896321,0.0063466045437223055,-21.43100668896321,0.0004793246474472795,-19.612882943143813,5.063724991001678e-05
-15.477869565217391,1.1359978694021296e-13,-21.993733632524595,1.9121803640861525e-05,-14.903612040133778,0.009069061453725493,-14.802612040133779,0.0003557511207752041,-13.580612040133778,0.0014588461548470974,-22.382124087378372,1.748930878276191e-15,-19.50390635451505,2.955950648204783e-56,-19.361612040133778,6.625601908591061e-05,-26.890725752508366,4.022925698204614e-08,-20.231519039629404,7.123089776173979e-07,-13.437377926421403,0.00040933246115951893,-16.70461204013378,6.444237114335744e-11,-18.251471571906354,0.005939628478711122,-16.78961204013378,4.285396118323778e-24,-20.84161204013378,0.0027982724999180432,-13.88461204013378,0.002920892764105015,-16.37761204013378,0.006837978665454406,-21.325612040133777,0.0005281799965980464,-19.499789297658864,5.7300256626511345e-05
-15.372478260869565,1.938150595221685e-13,-21.84983446553483,2.151419225131881e-05,-14.798217391304346,0.009686993615858801,-14.697217391304347,0.0003979963324553922,-13.475217391304346,0.0016454074721770433,-22.238224920388607,2.4471194980984475e-15,-19.374086956521737,1.762123163620446e-55,-19.256217391304347,7.440860213728792e-05,-26.746826086956524,4.720398174299077e-08,-20.087619872639635,8.318456007593358e-07,-13.331434782608694,0.00046087954454350976,-16.59921739130435,9.159769578865631e-11,-18.144347826086957,0.006604657205892834,-16.684217391304347,9.15835672965369e-24,-20.736217391304347,0.0030200128772853705,-13.779217391304348,0.0031393757746085815,-16.27221739130435,0.007367114457321612,-21.220217391304345,0.000582012046434953,-19.386695652173913,6.48399456238387e-05
-15.267086956521739,3.3067207526849814e-13,-21.705935298545064,2.42058928317817e-05,-14.692822742474915,0.010346589764725167,-14.591822742474916,0.0004452559007840165,-13.369822742474915,0.0018557824314754106,-22.09432575339884,3.4240311680447723e-15,-19.244267558528428,1.0504498935573998e-54,-19.150822742474915,8.356424961802841e-05,-26.602926421404685,5.5387945412280123e-08,-19.943720705649866,9.714423254024781e-07,-13.225491638795985,0.0005189145630021552,-16.49382274247492,1.3019598324572288e-10,-18.037224080267556,0.007343595606280038,-16.578822742474916,1.9572402567163685e-23,-20.630822742474916,0.0032592669496322706,-13.673822742474917,0.0033741460279580935,-16.166822742474917,0.007936868566118426,-21.114822742474914,0.0006413271326059428,-19.27360200668896,7.337165005586672e-05
-15.161695652173913,5.641667971103062e-13,-21.562036131555296,2.7234350405314763e-05,-14.587428093645483,0.011050597246701838,-14.486428093645484,0.0004981244499729675,-13.264428093645483,0.002092998668957046,-21.950426586409073,4.790934586092856e-15,-19.114448160535115,6.262019600308012e-54,-19.045428093645484,9.384635306011512e-05,-26.459026755852847,6.499079906741852e-08,-19.7998215386601,1.134465540978162e-06,-13.119548494983277,0.000584253213609728,-16.388428093645487,1.8505917542026245e-10,-17.93010033444816,0.008164528003623975,-16.473428093645484,4.18283490760685e-23,-20.525428093645484,0.003517408542743934,-13.568428093645485,0.0036264091108647104,-16.061428093645485,0.008550306473794705,-21.009428093645482,0.0007066829729381639,-19.160508361204013,8.302587141741624e-05
-15.056304347826087,9.625372045801213e-13,-21.418136964565527,3.064169399225095e-05,-14.482033444816052,0.011801935882193698,-14.381033444816053,0.000557266975962353,-13.159033444816052,0.0023604654726587875,-21.806527419419304,6.703517895056949e-15,-18.984628762541803,3.7329614401544466e-53,-18.940033444816052,0.00010539347723024469,-26.315127090301004,7.625854190744097e-08,-19.655922371670336,1.3248465655680995e-06,-13.013605351170568,0.0006578135057203803,-16.283033444816056,2.6304112886340454e-10,-17.822976588628762,0.009076392409163471,-16.368033444816056,8.939172288253899e-23,-20.420033444816056,0.003795917693075485,-13.463033444816054,0.0038974585182293925,-15.956033444816056,0.009210716595421345,-20.90403344481605,0.0007786938531277845,-19.047414715719064,9.3950273193935e-05
-14.950913043478261,1.642205594065671e-12,-21.274237797575758,3.447532239514915e-05,-14.37663879598662,0.012603707567988037,-14.275638795986621,0.0006234271391033488,-13.05363879598662,0.0026620210007131592,-21.662628252429535,9.379621316432175e-15,-18.854809364548494,2.2253205839525216e-52,-18.83463879598662,0.00011836122446084088,-26.17122742474917,8.94798230816604e-08,-19.512023204680567,1.5471764481333087e-06,-12.907662207357859,0.000740628529305847,-16.177638795986624,3.738838418269788e-10,-17.715852842809362,0.010089063452220026,-16.262638795986625,1.9103981621117064e-22,-20.314638795986625,0.004096388602553495,-13.357638795986622,0.004188681856831791,-15.850638795986624,0.009921625138252661,-20.79863879598662,0.0008580363296806795,-18.934321070234112,0.0001063119361945297
-14.845521739130435,2.801802569653083e-12,-21.130338630585992,3.8788563206343584e-05,-14.271244147157189,0.01345920623760742,-14.17024414715719,0.0006974365251071303,-12.948244147157189,0.003001985098569403,-21.51872908543977,1.3124048807946146e-14,-18.724989966555185,1.3265745657308043e-51,-18.72924414715719,0.00013292432766048048,-26.027327759197327,1.0499333609197953e-07,-19.368124037690798,1.806816679424187e-06,-12.80171906354515,0.0008338607994459258,-16.072244147157193,5.314344862219763e-10,-17.60872909698997,0.011213441641961221,-16.157244147157193,4.0827282662349236e-22,-20.209244147157193,0.004420538146705744,-13.25224414715719,0.004501567454612139,-15.745244147157193,0.010686811730286547,-20.693244147157188,0.0009454555003843041,-18.82122742474916,0.00012029990981779499
