B_Benzene,r1_Benzene,r2_Benzene,r3_Benzene,r4_Benzene,B_Benzofuran,r1_Benzofuran,r2_Benzofuran,r3_Benzofuran,r4_Benzofuran,B_Indene,r1_Indene,r2_Indene,r3_Indene,r4_Indene,B_Indole,r1_Indole,r2_Indole,r3_Indole,r4_Indole,B_Toluene,r1_Toluene,r2_Toluene,r3_Toluene,r4_Toluene,B_Ethylbenzene,r1_Ethylbenzene,r2_Ethylbenzene,r3_Ethylbenzene,r4_Ethylbenzene,B_m-xylene,r1_m-xylene,r2_m-xylene,r3_m-xylene,r4_m-xylene,B_o-xylene,r1_o-xylene,r2_o-xylene,r3_o-xylene,r4_o-xylene,B_Phenol,r1_Phenol,r2_Phenol,r3_Phenol,r4_Phenol,B_Propylbenzene,r1_Propylbenzene,r2_Propylbenzene,r3_Propylbenzene,r4_Propylbenzene,B_Thianaphthene,r1_Thianaphthene,r2_Thianaphthene,r3_Thianaphthene,r4_Thianaphthene,B_Isobutylbenzene,r1_Isobutylbenzene,r2_Isobutylbenzene,r3_Isobutylbenzene,r4_Isobutylbenzene,B_n-Butylbenzene,r1_n-Butylbenzene,r2_n-Butylbenzene,r3_n-Butylbenzene,r4_n-Butylbenzene,B_p-Xylene,r1_p-Xylene,r2_p-Xylene,r3_p-Xylene,r4_p-Xylene,B_2-Fluorobenzaldehyde,r1_2-Fluorobenzaldehyde,r2_2-Fluorobenzaldehyde,r3_2-Fluorobenzaldehyde,r4_2-Fluorobenzaldehyde,"B_1,2-Dichlorobenzene","r1_1,2-Dichlorobenzene","r2_1,2-Dichlorobenzene","r3_1,2-Dichlorobenzene","r4_1,2-Dichlorobenzene",B_n-Methylaniline,r1_n-Methylaniline,r2_n-Methylaniline,r3_n-Methylaniline,r4_n-Methylaniline,B_1-Methylpyrrole,r1_1-Methylpyrrole,r2_1-Methylpyrrole,r3_1-Methylpyrrole,r4_1-Methylpyrrole,"B_1,2-Benzenedithiol","r1_1,2-Benzenedithiol","r2_1,2-Benzenedithiol","r3_1,2-Benzenedithiol","r4_1,2-Benzenedithiol","B_Thieno[2,3-c]pyridine","r1_Thieno[2,3-c]pyridine","r2_Thieno[2,3-c]pyridine","r3_Thieno[2,3-c]pyridine","r4_Thieno[2,3-c]pyridine"
,,,,,-13.27,0.013,0.011,0.22,0.038,-4.543,0.977,0.988,0.995,0.915,-9.079,0.959,1.0,0.977,0.997,,,,,,,,,,,-2.816,0.975,,,,-3.869,,0.601,0.747,0.774,-10.073,0.639,,,,-8.61,,0.797,0.491,0.911,-13.016,0.0,0.114,0.038,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.167,0.943,0.619,0.952,0.679,-8.06,1.0,1.0,0.997,0.985
,,,,,-12.561,0.203,0.62,0.015,0.205,-3.392,1.0,,,,-7.928,0.998,,,,,,,,,,,,,,-2.384,0.951,,,,-3.653,0.919,0.587,0.992,0.739,-9.861,,0.821,0.788,0.87,-8.374,0.879,0.489,0.911,0.358,-12.872,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.735,0.943,0.993,0.395,0.156,-7.63,1.0,0.992,0.99,1.0
,,,,,-11.853,0.379,0.528,0.42,0.432,,,,,,,,,,,,,,,,,,,,,-1.233,1.0,,,,-3.221,0.786,0.932,0.882,0.823,-9.766,0.44,,,,-8.0195,,0.935,0.785,0.388,-12.584,0.094,0.311,0.106,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.304,1.0,0.97,0.982,0.981,-7.2,1.0,1.0,1.0,1.0
,,,,,-9.55,0.773,,,,,,,,,,,,,,,,,,,,,,,,0.082,1.0,1.0,1.0,1.0,-2.79,0.825,,,,-9.459,0.456,,,,-7.665,0.746,0.986,0.944,0.555,-12.153,0.169,0.356,0.137,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.872,1.0,0.999,1.0,1.0,-6.77,1.0,0.995,1.0,0.983
,,,,,-7.248,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.638,0.981,0.909,1.0,0.987,-9.43,,0.525,0.705,0.691,-6.514,,0.895,0.995,0.988,-11.721,0.415,0.817,0.132,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.44,0.976,0.897,1.0,0.801,-5.62,1.0,1.0,1.0,1.0
,,,,,-4.945,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.487,0.994,0.967,0.997,1.0,-9.152,0.807,,,,-5.363,0.877,1.0,0.995,1.0,-11.289,0.156,0.711,0.021,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.009,0.992,0.998,0.993,1.0,-4.47,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.998,,0.33,0.989,0.918,-4.2115,,0.959,0.974,1.0,-10.857,0.621,0.269,0.673,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.577,0.951,1.0,0.848,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.844,0.935,,,,-3.06,1.0,0.986,0.956,1.0,-10.57,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.145,1.0,1.0,0.933,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.537,0.984,,,,-1.9085,,1.0,1.0,1.0,-10.426,0.833,0.105,0.556,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.713,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.23,0.913,,,,-0.757,1.0,1.0,1.0,1.0,-9.994,0.703,0.734,0.936,0.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.282,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.923,0.962,,,,,,,,,-9.562,0.657,0.997,0.826,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.85,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.847,,0.989,0.973,1.0,,,,,,-9.13,0.713,0.984,0.761,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.418,1.0,1.0,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.616,0.996,,,,,,,,,-8.699,0.771,0.457,0.921,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.986,1.0,1.0,0.989,1.0,,,,,
